"HolderAddress","Balance","PendingBalanceUpdate"
"0xa6c7bb55960a5d6ea7bb6f3b59081c1427a5f65c","22,155.382917578287526421","No"
"0xb78d7db4132fe360465d55e6dcef87f437d11111","21,690.897431775583742526","No"
"0xd4b4cab5cf150f46448a8b312cf4d96521953c5f","21,352.7527437304206439","No"
"0x1da7f7b6069cdbfe53f96db760275836e43b66de","21,229.946700865152009853","No"
"0x37cc57da698f7e8cfc50abfe0208f1b84b1fd640","21,000.084433404753233121","No"
"0xd2ec0bc6eba2726f86855df190926c8b5791e57d","20,206.804232685978491481","No"
"0x357836ffcb45307fa7ff2a574f505753c961902b","20,177.312265155683416697","No"
"0xa0817e753a4dc9431c5ef720212d9ecca3dcc3fb","19,765.527803837619062715","No"
"0x85026596042cf8cab1b521bcca86c56cf2d2ecae","19,030.146418101250662753","No"
"0x631f18e4192846574b05246f7349ba6b1e70a016","18,483.744754987759709794","No"
"0xdf9d4fd9e8cdf5752194119dc72743b521f7dda3","18,430.190221116731928142","No"
"0xb1fe8d7274efcad6571f11465709a7df0521b2a9","18,282.362230917155461776","No"
"0x054680a02fdffb3f133bbdd5462e93290cdbc4c4","17,910.310982557184888137","No"
"0x3d8744ce6e2f794e0c45888cd2592004ed654717","17,891.813675180426684028","No"
"0x6c64f87af61b0d100ccfacb0c719e5d5d2833cd4","17,301.974642688111594399","No"
"0x30a6e2e37453903c76dfaef6ebfc704176242471","17,207.354709494878334584","No"
"0x49c8f4ec427f6c56e6d557590d77c9edb0983c31","16,243.880957727918399867","No"
"0x91fea319ed45c7b12683c8c25e741151fbfee24b","15,752.24507751423592393","No"
"0xfb997a00cc32a5066da2bc738cf6e4a54d7c1147","15,193.820826950411055449","No"
"0x9f097044203b465eba0fb745a02278d81b8f88d5","14,990.394354779425834047","No"
"0xe1581d62b6fd8369a15af057473f4cc0a3355943","14,774.940674034294557627","No"
"0x12f775df4d541853e51cc748096f7a4d2f861b75","14,636.156151563872126941","No"
"0x2340d9ccf0234eba19608c4216006c232df9623e","14,629.332472262724954224","No"
"0x66666611a6c8d2c004c1c51daeef45eefbdbb9a2","14,497.802477657946611859","No"
"0x59905d5d085e0caf031ba883b821ba354e51f95e","14,311.072068154346326755","No"
"0xfa576577835610ac69a48978a4fb44300c77b8b0","14,263.402250598383425057","No"
"0x131fb2b873a3a67a146342e62d9964a18b5b541e","14,246.672001882430654581","No"
"0x9c8ff2cb10eb8306c98765ae3f9b2e8a4c6233ee","14,055.38753968955255995","No"
"0x3e98a1de9e2114433c812fed852e2ce8a9620407","14,004.091160112267997429","No"
"0xd8de315eb7a00f4155d1ea9eb4eb6888ae715631","14,000.521909163902103676","No"
"0x22edc38749b59c31c9319eae7fc62143ac2fcc6c","13,296.618532527207753112","No"
"0xb0722c144d2483d70e77cd90b545fd4e278f054d","13,126.271205157235137938","No"
"0x5b77c9d94c18139023a63f26410171cf25878350","13,079.682558173828227763","No"
"0xfa71b875a401a676eceb718b48dad01fa753875a","12,918.107881946266491045","No"
"0x56546a17d7d1efff230b2231137c3a7ce47470ea","11,649.18528514358722202","No"
"0x65b44fe08fa5b85de1f705ee3b00d6a78c44a488","10,634.636676964516155641","No"
"0x145dc54736b12ddc03b76b842a77afb14d94ecd5","10,562.759746508095247177","No"
"0x7974d4c762a377d76e44ebd55f9ab6066ba7ac89","10,033.327233219039929431","No"
"0x80dc2d97367217092aa073a899171c5853127318","10,008.602915911995082361","No"
"0xbb98c6e4ae4f482079d935876f18a024219251fa","10,000.000000932059572329","No"
"0x58399fa59c762d06ff71ffdeed03bf82e7bc36d1","9,892.473240703480418001","No"
"0xafcbb07f1d61a809664738f01eb9c2551f50ca95","9,848.606083062921608455","No"
"0x6dde55ee9dbd9c31f0962e1decb5b7f806c2c583","9,807.655857261083375012","No"
"0x0453f50018d216366e31b6bd48886580de9b1207","9,519.256278494428380213","No"
"0xd513a929948451a8eabfc5c8518ff05a54ce5310","9,482.685447855425392388","No"
"0x22aed90661d078cb45dc663f350783c2cc9162f0","9,175.217703872157733642","No"
"0x948e067fbbe48340200bef08e983c430c4b3f171","9,000.525545302561206806","No"
"0xee0208659633302eb8fd0164f5bd8d4830298ae6","8,784.123307620362566145","No"
"0x29cbee1524c7c20c7f9f9cfdee67dc22d90a349f","8,706.763168944232930329","No"
"0x04d895a70e04f80b4f1a1ab448ee9adf9cd830d0","8,619.24926174140696112","No"
"0x902cc900bfc73b3b75bfce557e45d75e243efb09","8,437.188807948233837224","No"
"0x40b2a1fcad1069c06e089aa63402532cda7f9cfb","8,193.805117008496612441","No"
"0xa14aea49fd40d0a92b1cae8497d02b33a07dd872","8,042.154119025853890878","No"
"0x4f4f06e46b563336bf82c15a767698a057c8ec6a","7,848.8754","No"
"0x919875691863b5a0f6b37c04f2e20bfb686d1461","7,303.090126925363721903","No"
"0xe2e662e4fd16efceb15a32205a83c4e501948ba5","7,274.4271519795249817","No"
"0xaab1a8bcf535e98c21cbf3fcaa15a6a31b32bcc9","7,220.534489565787153446","No"
"0x00000b7a7a859f1b7ab55579fd4e7b0b22064f3d","7,178.157161455183582688","No"
"0x371903abb32f5f69b536b77495e92adedfea25da","7,172.232790459139762913","No"
"0x2c78cc90f61a866696c0ff2c1b67e3c201ad8508","7,068.644771489998368465","No"
"0x1cefde35c6e6ed228ae29bfea0ca5eb2153567ef","7,053.873974949771792978","No"
"0xa20155efc4b2c76c62d017cd6214589270a7b9dd","6,939.702862246759923144","No"
"0x647a938a0a92ee7e7e1ab7470de73ceeeb06b3ae","6,702.130572965313466397","No"
"0xa823c11466b0f853b805dda725465c1a5c8f2c3b","6,623.586606920865660085","No"
"0xf8dfd987b9cdc2f213cd9a30e3af3c190190ab17","6,361.557855276629252517","No"
"0x61fd0d043d519f5a2bd05785000f30db96809429","6,317.62029680328118871","No"
"0x5739d01410080d1879314997f29faa800aebdd12","6,100.16418184448877575","No"
"0xd631b35a4acad244826106116410100bf3269e60","6,023.57636251022788782","No"
"0x21dc435196412b8bfe369c14e5dec8d117ddcc47","5,940.723534656624227554","No"
"0x8bb2164a8877293d9d4ff88069409620cf5a890e","5,625.493355694954412863","No"
"0x13af937266d11ca098197ae9ffb6dca1f5f59305","5,586.563494354030904896","No"
"0xc32bae92b3ac4b0f0ee42993b2c52598bfad004d","5,479.300780138280756975","No"
"0x07bc77949d01bf6d65450c469611c12cf6e921d7","5,364.687719774329344841","No"
"0xd5e2311d7f5c7c809f04b32732e91743fcf7334d","5,330.759070628154387285","No"
"0xd56a9a09476daa6b42ca4b48d9209e8bff081559","5,251.391183180676880789","No"
"0x0e648b4a8add1ac68061fddd0ff559bd98704bda","5,238.450512193421459618","No"
"0x6b2fa71966b5707fd686bd6c84e5ab4dcd76b95a","5,218.256912575666733028","No"
"0xd56f4338f553d8377e64297bf34ea0d36c675423","5,153.288712729360406799","No"
"0x0b166fa24f6c3e899c29d511657902bed3d35ddf","5,001.028541274725338024","No"
"0x6333d3fc3b8ec5deb961e0cf900dae28b4aed247","4,823.301348495352077217","No"
"0x822c72f910f65c5295b29b2261d6ef411595de7d","4,735.573982016899160306","No"
"0x56be069ab2420bb44f9eae865cabec23352e7830","4,724.253231686778356549","No"
"0xcf3828131aaa01c57779751c0ae4260db81d0187","4,713.039611290428015397","No"
"0xd406df1cd0ec8f550c0132fd2094c6df348a57db","4,430.938082884472589582","No"
"0xd473cab67932e3986beb81ec9966d7e07180d381","4,280.53637341433770629","No"
"0xa32d6074a8a063a8036ae283f35fa30c6fd7f670","4,228.777083397900847986","No"
"0x1aec52b53abf46424970f31811a8d9f4d500ad4d","4,149.265579603812362905","No"
"0x000000000004444c5dc75cb358380d2e3de08a90","4,123.170759919027100738","No"
"0x8f3f243f69fb07c55ee8365f0783f6f737b0dc10","4,086.785116374909783493","No"
"0xaa6f105f7ebc4f7d2cd20f1c7b4512338e2eabb9","3,999","No"
"0x3150fa81028ac52de5aa074c0c39358bd3a08c98","3,910.585204313774561008","No"
"0x8ca0829c9f3bfd4542a8d9f24574ce6bda86cb99","3,853.968544356901041545","No"
"0xd2f5c454bc86520b161112766a5bea4ef204deb8","3,807.144603326392641909","No"
"0x306c8c077cb2c1b9430d48522dd76f2ed3a7f57f","3,797.300552149004529573","No"
"0xb34a97702200db666dffe6f8c22c2aaee5fb37ba","3,772.111463235416691802","No"
"0xc175b3f170d284ec3a85f492a2facbd68c743af0","3,760.08800133710219708","No"
"0xb4dc7c3e9e265794f7c0cebdcad16bdbf1f5c916","3,744.945599912211904236","No"
"0xcb0592589602b841be035e1e64c2a5b1ef006aa2","3,638.350652246638396876","No"
"0x0c01307e646673caf0abdb9ce7d4978043298c12","3,612.843791523381981856","No"
"0x81015f2bc2f680d307be755726aa34bfa2e108c1","3,570.40357727480079013","No"
"0x1043e290260b7d9e00958e75f4a2e65b328a2a39","3,309.335502235259451345","No"
"0x9c744a48d721774542bb0bc7648db9e44273a7de","3,246.829466394702872538","No"
"0x08b296a897b1c8a033066a34dfde80c66a825d7b","3,195.025948751095117471","No"
"0xbbbb1ac9cd2e49c603d05efe3061a5e4e66f109c","3,157.790166983652245449","No"
"0x23454b63d4ab36daf209b7f1902c5154cc9e143e","3,133.967880546346203307","No"
"0xfdab4d3d08458f0ee92b9fcf2ef6c6356831494d","3,115.094207324900839086","No"
"0xfc591d77185e64b40b76eaf4f2c9dffe0a3f598c","3,051.672510488872675345","No"
"0x0aa04f35b217f3df4a121a80401ab25e6bcbcaf5","3,041.89304213935126849","No"
"0xa2fa4e9f762dfdd5d5bdd2689ebd42b95927eb83","3,038.226264405217140232","No"
"0x44bc0752b34db025a6c80d0a192f82866a661068","3,034.944553337139025488","No"
"0xabbae541fc18326140d4add9fc4840aa62cc2d0a","2,980.199975289926627771","No"
"0x8874174a2366668d54fea6343f71709389563c8a","2,937.843997022903177603","No"
"0x6c77ffebe02b44b6c4f8e63c79ae9c9c2d346b69","2,901.793539531919356764","No"
"0x17f11ec42a10fef80fde83480313eeefc65ea3e2","2,897.058445495544781448","No"
"0x378ba35e58a82a4b2f561e29ccda1096f1e9f6b2","2,819.90596901285859636","No"
"0x5f13db1da20f1c134c5bc12d8d22e55aa4275882","2,803.864389630994925765","No"
"0x3564c639fa2c51c15b42163790e85c540d3b939f","2,770.089827304189053327","No"
